"Accuracy","Recall","Precision","F1","FPR","TPR","Dimension","Delay"
1,1,1,1,0,1,"3",1
0.666666666666667,0,0,NA,0.203703703703704,0.666666666666667,"3",2
0.75,0,NA,NA,0.166666666666667,0.75,"3",3
0.75,0,NA,NA,0.166666666666667,0.75,"3",4
0.625,0.25,0.166666666666667,0.2,0.231045751633987,0.625,"3",5
0.958333333333333,0.857142857142857,1,0.923076923076923,0.0185185185185185,0.958333333333333,"4",1
0.75,NA,0,NA,0.166666666666667,0.75,"4",2
0.708333333333333,NA,0,NA,0.194444444444445,0.708333333333333,"4",3
0.75,NA,0,NA,0.166666666666667,0.75,"4",4
0.791666666666667,0.6,0.5,0.545454545454545,0.12037037037037,0.791666666666667,"4",5
0.916666666666667,1,0.666666666666667,0.8,0.0555555555555555,0.916666666666667,"5",1
0.75,0.5,0.5,0.5,0.138888888888889,0.75,"5",2
0.791666666666667,0.666666666666667,0.333333333333333,0.444444444444444,0.12962962962963,0.791666666666667,"5",3
0.833333333333333,0.75,0.5,0.6,0.101851851851852,0.833333333333333,"5",4
0.791666666666667,0.571428571428571,0.666666666666667,0.615384615384615,0.111111111111111,0.791666666666667,"5",5
0.875,0.714285714285714,0.833333333333333,0.769230769230769,0.0648148148148149,0.875,"6",1
0.875,0.714285714285714,0.833333333333333,0.769230769230769,0.0648148148148149,0.875,"6",2
0.875,0.666666666666667,1,0.8,0.0555555555555555,0.875,"6",3
0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.0462962962962963,0.916666666666667,"6",4
0.875,0.8,0.666666666666667,0.727272727272727,0.0740740740740741,0.875,"6",5
